Day_Pd,Group,Detail,Notes
1A_Mo1,,,
1A_Mo2,,,
1A_Mo3,,,
1A_Mo4,,,
1A_Mo5,,,
1A_Tu1,,,
1A_Tu2,,,
1A_Tu3,,,
1A_Tu4,,,
1A_Tu5,,,
1A_We1,,,
1A_We2,,,
1A_We3,,,
1A_We4,,,
1A_We5,,,
1A_Th1,,,
1A_Th2,,,
1A_Th3,,,
1A_Th4,,,
1A_Th5,,,
1A_Fr1,,,
1A_Fr2,,,
1A_Fr3,,,
1A_Fr4,,,
1A_Fr5,,,
2B_Mo1,,,
2B_Mo2,,,
2B_Mo3,,,
2B_Mo4,,,
2B_Mo5,,,
2B_Tu1,,,
2B_Tu2,,,
2B_Tu3,,,
2B_Tu4,,,
2B_Tu5,,,
2B_We1,,,
2B_We2,,,
2B_We3,,,
2B_We4,,,
2B_We5,,,
2B_Th1,,,
2B_Th2,,,
2B_Th3,,,
2B_Th4,,,
2B_Th5,,,
2B_Fr1,,,
2B_Fr2,,,
2B_Fr3,,,
2B_Fr4,,,
2B_Fr5,,,
